Method,No of Calls
weka.core.Tee.add,2
weka.core.Tee.clear,2
weka.core.Tee.getDefault,2
weka.gui.experiment.AbstractSetupPanel.toString,16
weka.gui.experiment.AlgorithmListPanel$ObjectCellRenderer.getListCellRendererComponent,6
weka.gui.experiment.AlgorithmListPanel.actionPerformed,1
weka.gui.experiment.DatasetListPanel$1.valueChanged,2
weka.gui.experiment.DatasetListPanel$2.mouseClicked,1
weka.gui.experiment.DatasetListPanel.actionPerformed,3
weka.gui.experiment.RunPanel$ExperimentRunner.run,3
weka.gui.experiment.RunPanel.actionPerformed,3
weka.gui.experiment.SimpleSetupPanel$1.actionPerformed,1
weka.gui.experiment.SimpleSetupPanel$16.actionPerformed,1
weka.gui.experiment.SimpleSetupPanel$4.actionPerformed,1
weka.gui.experiment.SimpleSetupPanel$9.insertUpdate,1
weka.gui.experiment.SimpleSetupPanel$9.removeUpdate,1
weka.gui.ExtensionFileFilter.accept,282
weka.gui.LogPanel$1.stateChanged,2
weka.gui.LogWindow.createFrame,1
weka.gui.Main$1.internalFrameClosing,1
weka.gui.Main$31.run,1
weka.gui.Main$7.actionPerformed,1
weka.gui.Main$BackgroundDesktopPane.paintComponent,11
weka.gui.Main$ChildFrameMDI.dispose,1
weka.gui.Main.main,1
weka.gui.ResultHistoryPanel$4.stateChanged,2
weka.gui.SplashWindow.paint,1
